lat,year,lat_yr,species,onset_lag,offset_lag,overlap,onset_doy,onset_low_ci,onset_high_ci,offset_doy,offset_low_ci,offset_high_ci
30,2019,30_2019,b_philenor,0,0,209,82.5,74.5,93.5,291.5,279,300.5
30,2019,30_2019,la_astyanax,14,-33.9,155.1,96.5,80,115.8,251.6,233.2,269.2
30,2019,30_2019,l_archippus,15.1,-11.7,182.2,97.6,88.6,139,279.8,260,295.4
30,2020,30_2020,b_philenor,0,0,217.8,85.4,74,97,303.2,291.8,312
30,2020,30_2020,la_astyanax,22,-37,158.8,107.4,92.8,121.2,266.2,246.2,278.6
30,2020,30_2020,l_archippus,19.1,-14.7,184,104.5,87,119.5,288.5,275.5,294.5
30,2021,30_2021,b_philenor,0,0,227.8,82.1,73.1,93.1,309.9,295.9,318.9
30,2021,30_2021,la_astyanax,41,-34,152.8,123.1,97.3,135.1,275.9,263.9,288.9
30,2021,30_2021,l_archippus,41.2,-0.5,186.1,123.3,109,141.3,309.4,293.7075,318.4
30,2022,30_2022,b_philenor,0,0,240,66.5,50.5,81,306.5,295.5,315.5
30,2022,30_2022,la_astyanax,31.4,-45.4,163.2,97.9,75.3,112.9,261.1,246.4,279.8
30,2022,30_2022,l_archippus,38.5,-4.5,197,105,98,113,302,293,311
31,2019,31_2019,b_philenor,0,0,175.8,86.8,75.6,97.8,262.6,240.6,286.4
31,2019,31_2019,la_astyanax,18.5,-17.7,139.6,105.3,97,140.5,244.9,221.1,251
31,2019,31_2019,l_archippus,52.7,27.9,123.1,139.5,101,173,290.5,279.5,307
31,2020,31_2020,b_philenor,0,0,188.2,98.2,85.6,116.2,286.4,272.4,296.8
31,2020,31_2020,la_astyanax,-11.1,-43.2,145,87.1,83,97,243.2,228,269
31,2020,31_2020,l_archippus,33.4,4.9,154.8,131.6,107,170.7,291.3,276.6,299.8
31,2021,31_2021,b_philenor,0,0,189.6,96.7,86.7,116.8,286.3,271.6,293
31,2021,31_2021,la_astyanax,40.5,-19.5,129.6,137.2,99.6,151,266.8,260,281.4
31,2021,31_2021,l_archippus,52.5,8.3,137.1,149.2,118.4,171,294.6,284.6,307.8
31,2022,31_2022,b_philenor,0,0,216.4,77.3,71,87.2975,293.7,285,302
31,2022,31_2022,la_astyanax,28.6,-12.6,175.2,105.9,98.6,117,281.1,265,291.1
31,2022,31_2022,l_archippus,42.1,0.9,174.3,119.4,107,140,294.6,282.4,307
32,2019,32_2019,b_philenor,0,0,188.5,100.4,82,112.6,288.9,272,299
32,2019,32_2019,la_astyanax,20.4,-44.3,123.8,120.8,98.4,153,244.6,228.8,271.4
32,2019,32_2019,l_archippus,41.6,-10.9,136,142,122,162,278,264,307
32,2020,32_2020,b_philenor,0,0,177.5,116.5,108,130.5,294,268.5125,315
32,2020,32_2020,la_astyanax,-22.1,-27.6,149.9,94.4,86,104.7,266.4,241,279
32,2020,32_2020,l_archippus,-2.1,-7.2,170.3,114.4,99.8,155.8,286.8,252.4,298.8
32,2021,32_2021,b_philenor,0,0,162.6,120.2,100.4,133.6,282.8,274.8,299.4
32,2021,32_2021,la_astyanax,10.8,-8.8,143,131,102,161,274,264,286
32,2021,32_2021,l_archippus,24.6,1.5,138,144.8,116,176.29,284.3,275.3,293.2
32,2022,32_2022,b_philenor,0,0,209.2,85.9,64,95.6,295.1,277.7,307
32,2022,32_2022,la_astyanax,20.1,-22.1,167,106,94,125.5,273,252,286
32,2022,32_2022,l_archippus,41,-5.8,162.4,126.9,112.9,157,289.3,278,296.4
33,2019,33_2019,b_philenor,0,0,173.3,103.8,96,112.7,277.1,259.5,284.2
33,2019,33_2019,la_astyanax,14.2,-16.1,143,118,106,142,261,252,272
33,2019,33_2019,l_archippus,19.8,7,153.5,123.6,116,136,284.1,269.6,297
33,2020,33_2020,b_philenor,0,0,171.6,114.6,106,125,286.2,275,294.2
33,2020,33_2020,la_astyanax,-11.9,-12.8,158.8,102.7,95,112.8975,273.4,260.2,285
33,2020,33_2020,l_archippus,-8.8,0.4,171.6,105.8,100.4,115.4,286.6,274.2,295
33,2021,33_2021,b_philenor,0,0,174.4,113.8,100,123.8,288.2,279.2,295
33,2021,33_2021,la_astyanax,2,-10.6,161.8,115.8,106.2,131.6,277.6,263.2,290.6
33,2021,33_2021,l_archippus,9.9,-1.9,162.6,123.7,118,149.7,286.3,278.3,293
33,2022,33_2022,b_philenor,0,0,194,97,90,109,291,279,300
33,2022,33_2022,la_astyanax,19,-11,164,116,105,126,280,267,288
33,2022,33_2022,l_archippus,27,0.2,167,124,116,138.8,291.2,279,300
34,2019,34_2019,b_philenor,0,0,129,138.5,111,149.5,267.5,241,279
34,2019,34_2019,la_astyanax,-16.1,-6.3,122.7,122.4,114,134,261.2,249.6,278
34,2019,34_2019,l_archippus,-9.4,-5.1,123.9,129.1,110,160.9875,262.4,249.6,270
34,2020,34_2020,b_philenor,0,0,152.4,120.2,98.3,138.6925,272.6,250,285
34,2020,34_2020,la_astyanax,-13,16.2,152.4,107.2,100,116.2,288.8,278,298
34,2020,34_2020,l_archippus,18.3,12.5,134.1,138.5,125.4,179,285.1,275,291.1
34,2021,34_2021,b_philenor,0,0,167.8,111.4,104,132.6,279.2,266.805,288
34,2021,34_2021,la_astyanax,4.4,-3,160.4,115.8,107.8,126,276.2,267.2,287
34,2021,34_2021,l_archippus,14.6,2.8,153.2,126,114,169,282,269,290
34,2022,34_2022,b_philenor,0,0,173.2,101.9,94,113.9,275.1,267.1,281
34,2022,34_2022,la_astyanax,21.1,-4.1,148,123,114,141,271,262,277
34,2022,34_2022,l_archippus,48.6,-1.4,123.2,150.5,124,177,273.7,266,288.7
35,2019,35_2019,b_philenor,0,0,140.2,118.9,111,129.8,259.1,244.1,267.5
35,2019,35_2019,la_astyanax,4.1,8.4,136.1,123,116.5,133.5,267.5,258.5,274
35,2019,35_2019,l_archippus,1.3,12.3,138.9,120.2,103,146,271.4,250.4,277
35,2020,35_2020,b_philenor,0,0,156.6,116.2,106,132.4,272.8,262.6,279
35,2020,35_2020,la_astyanax,0.7,14.3,155.9,116.9,108.9,126.6,287.1,276,293.1
35,2020,35_2020,l_archippus,5.6,10.6,151,121.8,109.8,164,283.4,273,292.2
35,2021,35_2021,b_philenor,0,0,154.5,115.3,105,129.4,269.8,257.7,281
35,2021,35_2021,la_astyanax,10.5,-3.6,140.4,125.8,119.8,136,266.2,257.6,272.2
35,2021,35_2021,l_archippus,22.7,5.2,131.8,138,123,182,275,263,282
35,2022,35_2022,b_philenor,0,0,157,114,100,124,271,260,280
35,2022,35_2022,la_astyanax,10.8,-2.8,143.4,124.8,117.8,135.8,268.2,258.2,276.4
35,2022,35_2022,l_archippus,39.3,2.3,117.7,153.3,126,182.3,273.3,265.6,282.7
36,2019,36_2019,b_philenor,0,0,147.6,114.8,107,124.8,262.4,250.4,276
36,2019,36_2019,la_astyanax,14.3,-0.6,132.7,129.1,122,137.3,261.8,252.8,275
36,2019,36_2019,l_archippus,18.2,11.4,129.4,133,118.6,160,273.8,259,283.2
36,2020,36_2020,b_philenor,0,0,161.4,113.8,107,126.4,275.2,263.2,283
36,2020,36_2020,la_astyanax,9.2,8.8,152.2,123,117,137,284,275,292
36,2020,36_2020,l_archippus,9.7,4.3,151.7,123.5,117,146,279.5,272.5,285.5
36,2021,36_2021,b_philenor,0,0,158.4,114.8,105.8,125,273.2,262,285.2
36,2021,36_2021,la_astyanax,12.6,-0.9,145.8,127.4,120.4,138.4,272.3,263,283.6
36,2021,36_2021,l_archippus,36.2,5.8,122.2,151,129,171,279,272,288
36,2022,36_2022,b_philenor,0,0,165.4,113.8,105.8,124.395,279.2,268,287.2
36,2022,36_2022,la_astyanax,11.7,-0.2,153.5,125.5,117,138.5,279,270,288
36,2022,36_2022,l_archippus,24.2,1.8,141.2,138,121,152,281,271,287
37,2019,37_2019,b_philenor,0,0,113.4,129,110.4,152.4,242.4,232.2,256.2
37,2019,37_2019,la_astyanax,-0.2,12.8,113.4,128.8,118,139.6,255.2,247.2,268
37,2019,37_2019,l_archippus,34.3,29.8,79.1,163.3,117,173,272.2,254,280
37,2020,37_2020,b_philenor,0,0,139.4,123.8,111,137.6,263.2,253.6,283
37,2020,37_2020,la_astyanax,25.8,12.2,113.6,149.6,133.8,170.8,275.4,264,282.4
37,2020,37_2020,l_archippus,38.7,10.3,100.7,162.5,118,211,273.5,264.5,286.5
37,2021,37_2021,b_philenor,0,0,145,122.5,115.5,131.5,267.5,247,277.5
37,2021,37_2021,la_astyanax,13.1,9.2,131.9,135.6,122.3,150.6,276.7,264.8,289.1
37,2021,37_2021,l_archippus,49.5,3.5,95.5,172,127,195,271,263,276
37,2022,37_2022,b_philenor,0,0,130.5,115,105.5,135.5,245.5,232.5,255.5
37,2022,37_2022,la_astyanax,26.8,24.7,103.7,141.8,134.8,149,270.2,262,281.2
37,2022,37_2022,l_archippus,23.2,35.7,107.3,138.2,128.2,172.9499,281.2,265.4,297.2
38,2019,38_2019,b_philenor,0,0,126,129,117,156,255,233.5125,262.5
38,2019,38_2019,la_astyanax,5,9,121,134,129,143,264,250,272
38,2019,38_2019,l_archippus,16.8,5.9,109.2,145.8,125.5,176.3,260.9,244.9,281.6
38,2020,38_2020,b_philenor,0,0,131,128.4,117,145.6,259.4,249.4,271.2
38,2020,38_2020,la_astyanax,11,10.9,120,139.4,132.2,151.3,270.3,263.2,279.6
38,2020,38_2020,l_archippus,19.5,11.9,111.5,147.9,112,198.7,271.3,261.1,281
38,2021,38_2021,b_philenor,0,0,129.6,123.2,117.6,141,252.8,238.4,264.8
38,2021,38_2021,la_astyanax,18.7,14.3,110.9,141.9,129.6,157.2,267.1,255.3,272.1
38,2021,38_2021,l_archippus,57.8,17.2,71.8,181,142,193,270,264,284
38,2022,38_2022,b_philenor,0,0,137.8,116.3,110.3,128.3,254.1,242.2,266.4
38,2022,38_2022,la_astyanax,26.5,14.5,111.3,142.8,136,154,268.6,258.4,275
38,2022,38_2022,l_archippus,38.2,28.1,99.6,154.5,143,185.1,282.2,269.2,294
39,2019,39_2019,b_philenor,0,0,119.4,143.2,126,154,262.6,253.6,272
39,2019,39_2019,la_astyanax,-5.3,2.5,119.4,137.9,130.9,146,265.1,257,271.1
39,2019,39_2019,l_archippus,-3,3.3,119.4,140.2,127,155,265.9,258,279.7
39,2020,39_2020,b_philenor,0,0,143.1,134.6,123,154,277.7,267,286
39,2020,39_2020,la_astyanax,14.8,1.9,128.3,149.4,141.6,159.4,279.6,271.6,286.2
39,2020,39_2020,l_archippus,21,-3,119.1,155.6,144.3,174,274.7,267.7,284.4
39,2021,39_2021,b_philenor,0,0,122.8,137.9,127.6,151.6,260.7,252.7,269.685
39,2021,39_2021,la_astyanax,-1.4,15.8,122.8,136.5,130.0125,145,276.5,265,293
39,2021,39_2021,l_archippus,13.8,15.6,109,151.7,142,163.4,276.3,268.3,282.6
39,2022,39_2022,b_philenor,0,0,127.4,132.3,121.3,144.5,259.7,249.7,274.7
39,2022,39_2022,la_astyanax,15.4,15.4,112,147.7,138.9,158.8,275.1,267.1,282
39,2022,39_2022,l_archippus,22.9,14.1,104.5,155.2,147,178,273.8,266,282
40,2019,40_2019,b_philenor,0,0,82.5,166.4,139,184.8,248.9,236,276
40,2019,40_2019,la_astyanax,-24.2,12.9,82.5,142.2,136.3,152.1,261.8,252.9,268.9
40,2019,40_2019,l_archippus,18.3,18.2,64.2,184.7,154.2,193.9,267.1,258.1,275
40,2020,40_2020,b_philenor,0,0,104.2,153.4,131,192.8,257.6,248.2,271
40,2020,40_2020,la_astyanax,3.4,16.6,100.8,156.8,150,166,274.2,263.2,284
40,2020,40_2020,l_archippus,2.6,13.9,101.6,156,149,167,271.5,261.5,281
40,2021,40_2021,b_philenor,0,0,120,134.5,124.5,169.5,254.5,242.5,263.5
40,2021,40_2021,la_astyanax,11.1,8.9,108.9,145.6,140,154.6,263.4,255.4,269.4
40,2021,40_2021,l_archippus,25.4,15.2,94.6,159.9,149.4,178.9,269.7,261.7,280.8
40,2022,40_2022,b_philenor,0,0,122,134,125.5,151,256,246,264.5
40,2022,40_2022,la_astyanax,14.8,11.4,107.2,148.8,143,156.8,267.4,259.2,280
40,2022,40_2022,l_archippus,17.6,10.4,104.4,151.6,143.6,171.8,266.4,258.4,272.4
41,2019,41_2019,b_philenor,0,0,91.8,183.8,179,198.4,275.6,262.6,299
41,2019,41_2019,la_astyanax,-26.7,-14.7,77.1,157.1,152,165.8975,260.9,253,266
41,2019,41_2019,l_archippus,-24.8,-10.6,81.2,159,154,182,265,258,271
41,2020,41_2020,b_philenor,0,0,113.4,157.7,141.3,199.4875,271.1,250,283.9
41,2020,41_2020,la_astyanax,-0.5,-11.5,101.9,157.2,152.2,164.4,259.6,247.4,273.8
41,2020,41_2020,l_archippus,10.8,-2.6,100,168.5,159.5,180.5,268.5,261,274.5
41,2021,41_2021,b_philenor,0,0,85.6,172.8,132,185.4,258.4,251.6,269
41,2021,41_2021,la_astyanax,-17.5,-8.7,76.9,155.3,145.6,164.3,249.7,240.7,254.7
41,2021,41_2021,l_archippus,-7.5,10.3,85.6,165.3,156,177.7,268.7,258,275
41,2022,41_2022,b_philenor,0,0,98.8,141.8,132,183.085,240.6,227.6,252
41,2022,41_2022,la_astyanax,11.2,15.4,87.6,153,148,160.975,256,246,263
41,2022,41_2022,l_archippus,17.8,25.8,81,159.6,152.2,170.8,266.4,259.2,276.8
