lat,species,onset_lag,offset_lag,overlap,onset_doy,onset_low_ci,onset_high_ci,offset_doy,offset_low_ci,offset_low_ci
29,b_philenor,0,0,230,70,65,75,300,293.1,306
29,la_astyanax,44,-54,132,114,77.4,119.2,246,222,257
29,l_archippus,42.4,-11,176.6,112.4,103,122,289,281,295
30,b_philenor,0,0,224,79,74,85,303,297,309.2
30,la_astyanax,24,-35,165,103,92,112,268,260,275
30,l_archippus,29,-5,190,108,102,115.4,298,292,305
31,b_philenor,0,0,200.4,87.3,82.6,93,287.7,281.7,291.7
31,la_astyanax,14.7,-20.7,165,102,96,109,267,259,273
31,l_archippus,41.7,5.3,158.7,129,117,143.5,293,288.5,303
32,b_philenor,0,0,191,100,93,111,291,283,296
32,la_astyanax,3.3,-21.3,166.4,103.3,98,110.3,269.7,263,276
32,l_archippus,26.5,-4,160.5,126.5,116,149,287,280,291.5
33,b_philenor,0,0,180,106,99.8,111.8,286,281,290
33,la_astyanax,6,-10,164,112,106.6,117.6,276,266,281
33,l_archippus,13,2,167,119,115.1,124.1,288,282,292
34,b_philenor,0,0,165.4,109.6,105.21,119,275,268.4,281
34,la_astyanax,6.4,1.5,159,116,111.5,121,276.5,270.5,280.5
34,l_archippus,24.4,4.2,141,134,124,153.6,279.2,271.4,284.2
35,b_philenor,0,0,154,115.5,111,120,269.5,264,274
35,la_astyanax,6.5,2.5,147.5,122,119,127,272,268,276.7
35,l_archippus,13.5,7.5,140.5,129,122,147,277,272,281
36,b_philenor,0,0,160.5,114,110,119,274.5,268.5,279
36,la_astyanax,11.6,1.9,148.9,125.6,122,131,276.4,271.4,282
36,l_archippus,19.4,4.5,141.1,133.4,124,146,279,275,283
37,b_philenor,0,0,135,121.5,114,127,256.5,249,264
37,la_astyanax,15.5,14.5,119.5,137,131.8,143,271,266,277
37,l_archippus,24,18,111,145.5,133,169,274.5,270,280
38,b_philenor,0,0,134,122,117.3,130.6,256,249.4,261
38,la_astyanax,17.3,12,116.7,139.3,135,143,268,264,271
38,l_archippus,30.2,276.6,103.8,152.2,145,175,276.6,268.8,281.8
39,b_philenor,0,0,131.8,135.2,129,142.6,267,260,271.4
39,la_astyanax,5.8,8,126,141,138,146,275,270,278
39,l_archippus,14.4,7.4,117.4,149.6,144.6,156.2,274.4,270,278.4
40,b_philenor,0,0,115.6,139.4,131.8,158.8,255,251,260.2
40,la_astyanax,8.6,11.8,107,148,145,152,266.8,262,270.8
40,l_archippus,18.6,13.4,97,158,151.6,165,268.4,264.8,273
41,b_philenor,0,0,96.2,168.2,144,179.585,264.4,257,270
41,la_astyanax,-13.2,-7.4,88.8,155,152,159,257,252,261
41,l_archippus,-6.2,2.9,96.2,162,158,169.695,267.3,264,271
42,b_philenor,0,0,81.9,178.1,162,188.3,260,250,270
42,la_astyanax,-22.1,-13,68.9,156,153.8,159.8,247,241,253
42,l_archippus,-17.1,5,81.9,161,158,165,265,262,269
43,b_philenor,0,0,77.8,174.6,149,194,252.4,226,268
43,la_astyanax,-15.5,-18.4,59.4,159.1,157,162,234,229,238
43,l_archippus,-12.7,13.6,77.8,161.9,158,165.9,266,261.1,271